A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,119,100%,96%,83%,18%,55%,58%
ABRAHAM LINCOLN HIGH SCHOOL,205,100%,95%,85%,19%,56%,65%
ACAD FOR CAREERS IN TELEVISION-FILM,38,100%,92%,71%,16%,34%,45%
ACAD FOR COLLEGE PREP AND CAREER EXP,25,100%,88%,72%,12%,32%,36%
ACAD FOR CONSERVATION & ENVIRONMENT,15,100%,73%,67%,20%,40%,53%
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,18,100%,94%,78%,22%,56%,56%
ACADEMY FOR ENVIRONMENTAL LDSHIP,18,100%,83%,61%,0%,39%,39%
ACADEMY FOR LANGUAGE AND TECHNOLOGY,29,100%,97%,72%,17%,45%,52%
ACADEMY FOR YOUNG WRITERS,0,0,0,0,0,0,0
ACADEMY OF AMERICAN STUDIES,65,100%,95%,89%,31%,62%,69%
ACADEMY OF HOSPITALITY AND TOURISM,0,0,0,0,0,0,0
ACADEMY OF INNOVATIVE TECHNOLOGY,27,100%,81%,59%,15%,41%,48%
ACADEMY OF MEDICAL TECHNOLOGY,37,100%,92%,81%,14%,41%,49%
ACADEMY OF URBAN PLANNING,18,100%,78%,61%,11%,28%,33%
ACADEMY-FINANCE & ENTERPRISE,40,100%,93%,70%,23%,45%,55%
ADDISON,16,100%,94%,69%,44%,56%,56%
ADDISON HIGH SCHOOL,16,100%,94%,69%,44%,56%,56%
ADIRONDACK,35,100%,97%,83%,31%,51%,57%
ADIRONDACK HIGH SCHOOL,35,100%,97%,83%,31%,51%,57%
AFTON,0,0,0,0,0,0,0
AFTON JUNIOR/SENIOR HIGH SCHOOL,0,0,0,0,0,0,0
AKRON,40,100%,90%,78%,35%,57%,65%
AKRON HIGH SCHOOL,40,100%,90%,78%,35%,57%,65%
ALBANY,135,100%,86%,77%,20%,41%,50%
ALBANY HIGH SCHOOL,135,100%,86%,77%,20%,41%,50%
ALBANY LEADERSHIP CHARTER HS-GIRLS,24,100%,92%,71%,13%,25%,33%
ALBION,53,100%,89%,72%,28%,47%,57%
ALDEN,58,100%,100%,88%,50%,69%,72%
ALDEN SENIOR HIGH SCHOOL,58,100%,100%,88%,50%,69%,72%
ALEXANDER,22,100%,86%,68%,36%,64%,68%
ALEXANDER HAMILTON HIGH SCHOOL,17,100%,94%,94%,29%,47%,53%
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,22,100%,86%,68%,36%,64%,68%
ALEXANDRIA CENTRAL HIGH SCHOOL,11,100%,82%,64%,45%,64%,64%
ALEXANDRIA CSD,15,100%,87%,73%,47%,67%,73%
ALFRED ALMOND,16,100%,100%,94%,50%,75%,75%
ALFRED E SMITH CAREER-TECH HIGH SCH,26,100%,92%,62%,8%,27%,38%
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,16,100%,100%,94%,50%,75%,75%
ALL CITY LEADERSHIP SECONDARY SCH,11,100%,82%,73%,0%,27%,36%
ALLEGANY-LIMESTONE,19,100%,84%,63%,37%,42%,58%
ALLEGANY-LIMESTONE HIGH SCHOOL,19,100%,84%,63%,37%,42%,58%
ALTMAR-PARISH,31,100%,84%,65%,23%,42%,48%
ALTMAR-PARISH-WILLIAMSTOWN JR/SR HS,31,100%,84%,65%,23%,42%,48%
AMERICAN SIGN LANG & ENG SECONDAR,0,0,0,0,0,0,0
AMHERST,67,100%,96%,85%,36%,55%,60%
AMHERST CENTRAL HIGH SCHOOL,67,100%,96%,85%,36%,55%,60%
AMITYVILLE,59,100%,93%,76%,10%,34%,41%
AMITYVILLE MEMORIAL HIGH SCHOOL,59,100%,93%,76%,10%,34%,41%
AMSTERDAM,59,100%,85%,66%,34%,46%,51%
AMSTERDAM HIGH SCHOOL,59,100%,85%,66%,34%,46%,51%
ANDOVER,10,100%,100%,80%,60%,80%,80%
ANDOVER SCHOOL,10,100%,100%,80%,60%,80%,80%
ANTONIA PANTOJA PREP ACADEMY,15,100%,100%,93%,0%,53%,53%
ARCADIA HIGH SCHOOL,106,100%,81%,74%,25%,42%,45%
ARCHIMEDES ACAD-MATH, SCI, TECH,19,100%,89%,47%,5%,32%,32%
ARDSLEY,21,100%,100%,95%,43%,67%,71%
ARDSLEY HIGH SCHOOL,21,100%,100%,95%,43%,67%,71%
ARGYLE,17,100%,82%,76%,41%,59%,65%
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,17,100%,82%,76%,41%,59%,65%
ARKPORT,12,100%,83%,83%,33%,67%,67%
ARKPORT CENTRAL SCHOOL,12,100%,83%,83%,33%,67%,67%
ARLINGTON,163,100%,90%,82%,41%,61%,64%
ARLINGTON HIGH SCHOOL,163,100%,90%,82%,41%,61%,64%
ART AND DESIGN HIGH SCHOOL,81,100%,99%,91%,25%,56%,68%
ARTURO A SCHOMBURG SATTELLITE-BRONX,12,100%,67%,58%,0%,0%,0%
ASTOR COLLEGIATE ACADEMY,27,100%,96%,89%,22%,59%,70%
ATHENA HIGH SCHOOL,81,100%,91%,81%,32%,48%,51%
ATTICA,40,100%,95%,73%,43%,50%,60%
ATTICA SENIOR HIGH SCHOOL,40,100%,95%,73%,43%,50%,60%
AUBURN,130,100%,92%,79%,38%,52%,58%
AUBURN HIGH SCHOOL,130,100%,92%,79%,38%,52%,58%
AUGUST MARTIN HIGH SCHOOL,45,100%,91%,76%,18%,40%,58%
AUSABLE VALLEY,37,100%,86%,68%,35%,49%,49%
AUSABLE VALLEY HIGH SCHOOL,37,100%,86%,68%,35%,49%,49%
AUTOMOTIVE HIGH SCHOOL,19,100%,89%,58%,5%,16%,26%
AVERILL PARK,69,100%,97%,87%,39%,64%,71%
AVERILL PARK HIGH SCHOOL,69,100%,97%,87%,39%,64%,71%
AVIATION CAREER AND TECH HIGH SCHOOL,229,100%,97%,86%,25%,59%,66%
AVOCA,0,0,0,0,0,0,0
AVOCA CENTRAL SCHOOL,0,0,0,0,0,0,0
AVON,36,100%,92%,81%,56%,64%,67%
AVON HIGH SCHOOL,36,100%,92%,81%,56%,64%,67%
BABYLON,21,100%,76%,71%,48%,71%,71%
BABYLON JUNIOR-SENIOR HIGH SCHOOL,21,100%,76%,71%,48%,71%,71%
BACCALAUREATE SCHOOL-GLOBAL ED,25,100%,100%,96%,44%,68%,68%
BAINBRIDGE GUILFRD,18,100%,100%,78%,28%,50%,61%
BAINBRIDGE-GUILFORD HIGH SCHOOL,18,100%,100%,78%,28%,50%,61%
BALDWIN,117,100%,97%,85%,29%,53%,56%
